<video_id>VDnHw6GRl88</video_id>	JJ	<video_id>VDnHw6GRl88</video_id>
with	IN	with
in	IN	in
a	DT	a
clear	JJ	clear
way	NN	way
we	PP	we
haven't	VVD	haven't
seen	VVN	see
a	DT	a
real	JJ	real
pressure	NN	pressure
by	IN	by
the	DT	the
International	NP	International
Community	NP	Community
in	IN	in
this	DT	this
regard	NN	regard
a	DT	a
must	MD	must
enter	VV	enter
Without	IN	without
Limits	NNS	limit
and	CC	and
without	IN	without
restrictions	NNS	restriction
and	CC	and
still	RB	still
the	DT	the
talks	NNS	talk
are	VBP	be
ongoing	JJ	ongoing
regarding	IN	regarding
facilitating	VVG	facilitate
delivering	VVG	deliver
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
the	DT	the
gazan	NN	gazan
people	NNS	people
thank	VVP	thank
you	PP	you
and	CC	and
there	RB	there
you	PP	you
are	VBP	be
listening	VVG	listen
to	TO	to
Majid	NP	Majid
alansari	NP	alansari
the	DT	the
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
foreign	JJ	foreign
Ministry	NP	Ministry
we	PP	we
have	VHP	have
been	VBN	be
listening	VVG	listen
very	RB	very
closely	RB	closely
or	CC	or
waiting	NN	waiting
for	IN	for
uh	UH	uh
the	DT	the
foreign	JJ	foreign
Ministry	NP	Ministry
in	IN	in
Qatar	NP	Qatar
to	TO	to
speak	VV	speak
which	WDT	which
is	VBZ	be
why	WRB	why
we	PP	we
went	VVD	go
there	RB	there
thinking	VVG	think
they	PP	they
may	MD	may
have	VH	have
more	JJR	more
information	NN	information
about	IN	about
the	DT	the
ongoing	JJ	ongoing
negotiation	NN	negotiation
ations	NNS	ations
if	IN	if
they	PP	they
were	VBD	be
ongoing	JJ	ongoing
between	IN	between
all	DT	all
of	IN	of
the	DT	the
stakeholders	NNS	stakeholder
regarding	VVG	regard
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
confirmation	NN	confirmation
of	IN	of
course	NN	course
from	IN	from
our	PP$	our
correspondent	NN	correspondent
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
delegation	NN	delegation
is	VBZ	be
in	IN	in
Doha	NP	Doha
uh	UH	uh
non-committal	JJ	non-committal
certainly	RB	certainly
from	IN	from
the	DT	the
spokesperson	NN	spokesperson
here	RB	here
to	TO	to
say	VV	say
that	IN/that	that
they	PP	they
are	VBP	be
here	RB	here
but	CC	but
he	PP	he
said	VVD	say
all	DT	all
sides	NNS	side
are	VBP	be
talking	VVG	talk
to	TO	to
each	DT	each
other	JJ	other
uh	UH	uh
mediation	NN	mediation
efforts	NNS	effort
continue	VV	continue
uh	UH	uh
there's	RB	there's
no	DT	no
real	JJ	real
breakthrough	NN	breakthrough
he	PP	he
said	VVD	say
no	DT	no
particular	JJ	particular
announcement	NN	announcement
to	TO	to
make	VV	make
we	PP	we
are	VBP	be
optimistic	JJ	optimistic
but	CC	but
there	EX	there
are	VBP	be
no	DT	no
developments	NNS	development
Muhammed	NP	Muhammed
Val	NP	Val
correspondent	NN	correspondent
who	WP	who
was	VBD	be
in	IN	in
that	DT	that
um	JJ	um
news	NN	news
conference	NN	conference
as	IN	as
well	RB	well
also	RB	also
asking	VVG	ask
about	IN	about
the	DT	the
aid	NN	aid
drop	NN	drop
um	NNS	um
made	VVN	make
by	IN	by
uh	UH	uh
the	DT	the
jordanians	NNS	Jordanian
which	WDT	which
landed	VVD	land
just	RB	just
off	IN	off
the	DT	the
coast	NN	coast
we've	NN	we've
got	VVD	get
pictures	NNS	picture
of	IN	of
that	IN/that	that
later	RBR	later
coming	VVG	come
in	IN	in
the	DT	the
program	NN	program
of	IN	of
course	NN	course
gazans	NNS	Gazan
rushing	VVG	rush
into	IN	into
the	DT	the
water	NN	water
to	TO	to
try	VV	try
and	CC	and
collect	VVP	collect
most	JJS	most
of	IN	of
that	DT	that
</doc>	NN	</doc>
